"account holder","rekeninghouder"
"bottom line","moraal van het verhaal"
"direct debit","automatische overschrijving"
"in instalments","op afbetaling"
"incentive","stimulans"
"jump-start","een zetje geven"
"overdraft facility","kredietlimiet"
"pay by standing order","via automatische afschrijving betalen"
"peace of mind","gemoedsrust"
"safety net","buffer"
"struggle financially","in financiële moeilijkheden zitten"
"withdrawal fee","opnamekosten van geld"
"acknowledge","toegeven"
"cause for concern","reden tot ongerustheid"
"corporate partner","zakelijke partner"
"cripple","verlammen"
"distribution","verdeling"
"government cutbacks","overheidsbezuinigingen"
"imbalance","onevenwichtigheid"
"merit","verdienste"
"prestigious","gerenommeerd"
"qualifications","diploma's"
"resistance to","weerstand tegen"
"social class","maatschappelijke klasse"
"social standing","maatschappelijke positie"
"survey","onderzoek doen"
"tight budget","krap budget"
"appreciate","op prijs stellen"
"deluxe","luxe"
"draw up","opstellen"
"get down to business","ter zake komen"
"goggles","bril"
"instructive","leerzaam"
"make up the difference","het verschil bijleggen"
"semi-automatic","halfautomatisch"
"settle on","afspreken"
"carbon footprint","ecologische voetafdruk"
"complementary","aanvullend"
"keen to","iets graag doen"
"mileage","totaal aantal afgelegde mijlen/kilometers"
"shortage","gebrek"
"to this end","met dit doel voor ogen"
"A word of caution","Let op!"
"be wary of","op je hoede zijn"
"compound interest","rente op rente"
"credit rating","kredietwaardigheid"
"fall for","erin trappen"
"foundation","fundament"
"gullible","lichtgelovig"
"in return for","in ruil voor"
"landline","vaste telefoonlijn"
"money laundering","witwassen van geld"
"mule","muilezel"
"odds","kansen"
"out of pocket","geld kwijtraken"
"saying","gezegde"
"surplus","overschot"
"target","slachtoffer"
"tempted","in verleiding gebracht"
