"veel verschillende","a wide variety of"
"onderdak / verblijf / accommodatie","accommodation"
"aandacht","attention"
"bewust worden van","become aware of"
"zich gedragen","behave"
"grens","border"
"dapper","brave / bravely"
"breken","break - broke - broken"
"borst","chest"
"keuze","choice"
"gangbaar / gebruikelijk / gewoon","common"
"bestaan uit","consist of"
"duur","costly"
"zonsopkomst","dawn"
"verdedigen","defend"
"afhankelijk zijn van","depend on"
"woestijn","desert"
"domineren / overheersen","dominate"
"dalen","drop"
"zonsondergang","dusk"
"schatten","estimate"
"uitleggen","explain"
"vrouwelijk","female"
"buitenlandse hulp","foreign aid"
"woud / bos","forest"
"voormalig","former"
"gids","guide"
"jager","hunter"
"onmiddellijk","immediate / immediately"
"gewond","injured"
"kaak","jaw"
"Geintje!","Just kidding!"
"beperkt","limited"
"leeuw","lion"
"aap / chimpansee","monkey"
"berg","mountain"
"keuze / keus","option"
"meedoen / deelnemen","participate"
"keuze genoeg","plenty of choice"
"deel / gedeelte","portion"
"sterk / krachtig","powerful"
"voorkomen","prevent"
"aanleveren / leveren / bieden","provide"
"optillen / omhoog doen / opvoeden","raise"
"zeldzaam","rare"
"redelijk","reasonable"
"aanbevelen","recommend"
"familielid","relative"
"redden","rescue"
"zich terugtrekken","retire"
"veiligheidsregel","safety rule"
"zweven / varen","sail"
"wetenschap","science"
"verscheidene / enkele","several"
"in leven blijven","stay alive"
"zonsopkomst","sunrise"
"zonsondergang","sunset"
"steunen","support"
"overleven","survive"
"onvergetelijk","unforgettable"
"vrijwilliger","volunteer"
