"toegeven","admit"
"ongelofelijk","amazing"
"oud / klassiek","ancient"
"kunst","art"
"miljard / 1.000.000.000","billion"
"koken (water e.d.) / koken","boil"
"pauze","break"
"bouwen","build - built - built"
"vangen / betrappen","catch - caught - caught"
"eeuw","century"
"vragen / in rekening brengen","charge"
"kleding","clothing"
"ophalen (van bijv. een station of vliegveld) / ophalen","collect"
"bevestigen","confirm"
"bevatten","contain"
"medewerking","cooperation"
"kosten","cost"
"platteland","countryside"
"bezorgen / leveren","deliver"
"afdeling","department"
"woestijn","desert"
"reisbestemming / bestemming","destination"
"verdelen / opdelen","divide into"
"geld verdienen","earn money"
"eten","eat - ate - eaten"
"medewerker","employee"
"voelen","feel - felt - felt"
"smaak","flavour"
"bakken","fry"
"boodschappen","groceries"
"handgemaakt","handmade"
"voor","in front of"
"beïnvloeden","influence"
"inwoner","inhabitant"
"grap / mop","joke"
"verliezen","lose - lost - lost"
"zitkamer","lounge"
"verlagen","lower"
"belangrijk","major"
"mensheid","mankind"
"herinnering","memory"
"lawaaierig","noisy"
"meer dan","over"
"parkeerruimte / parkeerplaats","parking space"
"betalen","pay - paid - paid"
"toestemming","permission"
"bevolking","population"
"bereiken / reiken","reach"
"ontvangen / krijgen","receive"
"huur","rent"
"sjaal - sjaals","scarf - scarves"
"rok","skirt"
"plakken aan","stick to"
"aannemen / veronderstellen","suppose"
"Zwitserland","Switzerland"
"onderwijzen / leren","teach - taught - taught"
"reis / reisje","trip"
"waarde","value"
"of","whether"
"zich afvragen","wonder"
