"browse","bladeren"
"certify","officieel verklaren"
"commencement","aanvang / begin"
"comprehend","begrijpen"
"compulsive","dwangmatig"
"convene","bijeenroepen"
"deep-fry","frituren"
"discharge","ontslaan"
"eliminate","uit de weg ruimen"
"entity","eenheid"
"in default","in gebreke"
"indemnify","schadeloosstellen"
"issue","uitgeven"
"liable","aansprakelijk"
"mediation","bemiddeling"
"originate","ontstaan"
"paradoxical","tegenstrijdig / paradoxaal"
"plummet","scherp dalen"
"rectify","corrigeren / rechtzetten"
"refund","terugbetaling"
"regulations","voorschriften"
"reverse side","achterzijde"
"termination","beëindiging"
"vending machine","automaat / verkoopautomaat"
"waive","afzien van"
"affront","belediging"
"begrudge","misgunnen"
"commiseration","deelneming / medeleven"
"delude","wijsmaken"
"depict","beschrijven"
"deprived","beroofd / onthouden"
"discard","weggooien"
"fallacy","misvatting"
"gargantuan","enorm / reusachtig"
"inexorable","onstuitbaar"
"insistent","dringend"
"jeopardise","in gevaar brengen"
"muse","peinzen / mijmeren"
"patronize","beschermen / te veel beschermen"
"persist","volharden"
"prudent","verstandig"
"query","in twijfel trekken"
"sanctimonious","schijnheilig"
"scoop","binnenhalen"
"shriek","gillen / krijsen"
"squander","verkwisten"
"subvert","ondermijnen"
"toil","zwoegen"
"whine","zeuren"
"zenith","hoogtepunt"
"assessment","beoordeling"
"affiliate with","zich aansluiten bij"
"amend","aanpassen / veranderen"
"comprehensive","uitgebreid / veelomvattend"
"contemptuous","minachtend / kleinerend"
"deviant","afwijkend"
"disgraced","te schande gemaakt"
"elevate","opwaarderen / verheffen"
"exceed","overtreffen"
"exert","uitoefenen"
"exploration","verkenning"
"flawed","gebrekkig"
"host","gastvrouw zijn van / gastheer zijn van"
"loathe","verafschuwen"
"poll","opiniepeiling"
"prone to","vatbaar voor"
"quest for","zoektocht naar"
"ratio","verhouding"
"repentant","berouwvol"
"review","bespreken"
"revulsion","walging"
"serene","kalm / rustig"
"survey","ondervragen"
"thrive","succes hebben"
"acid","zuur"
"altitude","hoogte"
"assassination","moord"
"assessor","taxateur"
"choke","stikken"
"crack","barsten / breken"
"deity","godheid"
"differentiate","onderscheid maken"
"flawless","perfect / zonder gebreken"
"incur","oplopen"
"inedible","oneetbaar"
"ingenious","knap gevonden / vernuftig"
"jostle","duwen"
"munch","kauwen"
"offspring","nakomelingen / kinderen"
"ominous","onheilspellend"
"outraged","razend / woedend"
"proclamation","bekendmaking"
"punch","knippen / perforeren"
"sweeping","ongenuanceerd / te algemeen"
"track","nagaan / volgen"
"tremor","trilling / schok"
"tumble down","vallen / tuimelen"
"unsubstantiated","niet bewezen"
"amicable","vriendschappelijk"
"attainable","haalbaar"
"boundless","grenzeloos"
"breach","breuk / contractbreuk"
"complacent","zelfingenomen"
"concede","toegeven dat"
"confer","overleggen"
"constitute","vormen"
"contend","beweren"
"convey","overbrengen"
"core","kern / hart"
"dispersal","verspreiding"
"distort","verdraaien"
"diverse","uiteenlopend"
"elaborate","uitgebreid / veelomvattend"
"file","indienen"
"horrendous","afgrijselijk / schokkend"
"judgemental","veroordelend"
"mask","verhullen"
"pervade","zich verspreiden door"
"proficient","vaardig"
"reckon with","rekening houden met"
"wind up","belanden"
