"luchtmacht","air force"
"telefoon opnemen","answer the phone"
"iets heel graag willen doen","be anxious to"
"inbreken in","break into"
"zonnige toekomst","bright future"
"mededelingenbord","bulletin board"
"strijden met","compete with"
"concurrent","competitor"
"gefeliciteerd","congratulations"
"onderneming","corporation"
"cruciaal","crucial"
"bureau","desk"
"zich netjes kleden","dress appropriately"
"taak","duty"
"inschrijven voor een wedstrijd","enter a competition"
"finale","finals"
"ontslagen worden","get fired"
"raden","guess"
"voorval","incident"
"meedelen","inform"
"toets","key"
"toetsenbord","keyboard"
"te laat","late"
"opsporen","locate"
"er slordig uitzien","look a mess"
"een goede indruk maken","make a good impression"
"maatregel","measure"
"marine","navy"
"wachtwoord","password"
"bescherming","protection"
"kwalificeren","qualify"
"beurs","scholarship"
"veiligheidsinstructies","security instructions"
"met de deuren slaan","slam doors"
"steunen","sponsor"
"lente","spring"
"streng verboden","strictly forbidden"
"serieus nemen","take seriously"
"werkplek","work space"
"bovendien","additionally"
"sollicitant","applicant"
"sollicitatieformulier","application form"
"gelden voor","apply to"
"bezienswaardigheid","attraction"
"werkgelegenheid","employment"
"recht hebben op","entitled to"
"sector","industry"
"belemmeren","interfere with"
"volgens de wet","legally"
"minimumloon","minimum wage"
"een machine bedienen","operate a machine"
"vaste medewerker","permanent employee"
"baan","position"
"officiële feestdag","public holiday"
"herkennen","recognise"
"persoon die een referentie geeft","reference"
"verzoeken","request"
"eis","requirement"
"verkoper","sales assistant"
"vrije tijd","spare time"
"speciale aanbieding","special offer"
"personeel","staff"
"fase","stage"
"vakken vullen","stock shelves"
"taak","task"
"kassa","till"
"stagiaire","trainee"
"tenzij","unless"
"vacature","vacancy"
"essentieel","vital"
"afspraak","appointment"
"kandidaat","candidate"
"uitdaging","challenge"
"afstuderen","graduate"
"iemand in dienst nemen","hire someone"
"sollicitatiegesprek","job interview"
"goochelaar","magician"
"zenuwachtig","nervous"
"gezellig","outgoing"
"geduldig","patient"
"beleid","policy"
"referentie","reference"
"voorbeeldvragen","sample questions"
"onderscheiden","stand out"
"vakantiebaan","summer job"
"toernooi","tournament"
"bedienen","wait on"
"serveerster","waitress"
"beschikbaar","available"
"ervaring","experience"
"voerde","fed"
"gevoerd","fed"
"voeren","feed"
"meestal","generally"
"zich voorstellen","imagine"
"buurman","neighbour"
"bericht","notice"
"training","practice"
"supermarkt","supermarket"
"doordeweekse dag","weekday"
"toegang tot","access to"
"prullenbak","bin"
"zorg","care"
"contant geld","cash"
"commissie","committee"
"absoluut","definitely"
"inspanning","effort"
"eerlijke prijs","fair price"
"invullen","fill in"
"vouwen","fold"
"gok","gamble"
"richtlijn","guideline"
"huiseigenaar","homeowner"
"gehaast","in a rush"
"van tevoren","in advance"
"gras maaien","mow the lawn"
"bovendien","on top of that"
"aandacht besteden aan","pay attention to"
"fluitje van een cent","piece of cake"
"stapel","pile"
"interpunctie","punctuation"
"aanbeveling","recommendation"
"afwijzing","rejection"
"relevant voor","relevant to"
"Let op dat","Remember that"
"onderdeel","section"
"aangezien","since"
"een fout vinden","spot a mistake"
"voorzichtig zijn met","take care with"
"verkeer","traffic"
"onnodig","unnecessary"
"gazon","yard"
