"additional","extra"
"bend","bocht"
"casualty","slachtoffer"
"to collide","botsen"
"to come across","toevallig tegenkomen"
"consistent","consequent"
"content","tevredenheid"
"debris","wrakstukken"
"to deploy","inzetten"
"to ensure","verzekeren"
"to explore","verkennen / ontdekken"
"Let's go for a hike.","Laten we een wandeling gaan maken."
"hitchhiker","lifter"
"humidity","vochtigheid"
"itinerary","reisroute"
"junction","kruispunt"
"neatly","netjes"
"pace","snelheid"
"pavement","stoep"
"rafting","wildwatervaren"
"supplement","aanvulling"
"tailback","file"
"traffic jam","verkeersopstopping"
"trail","pad"
"vehicle","voertuig"
"velocity","snelheid"
"to air","in het openbaar uiting geven aan"
"to attribute","toeschrijven aan"
"to broaden","verbreden"
"brutal","wreed"
"sweep under the carpet","iets in de doofpot stoppen"
"to dash","de bodem inslaan"
"deprived","achtergesteld / arm"
"disparity","(oneerlijk) verschil / verschil"
"diverse","uiteenlopend"
"ethnicity","het behoren tot een bepaald ras"
"firmly","vast en zeker"
"to focus on","de aandacht richten op"
"to gain","winnen / krijgen"
"to grapple with","hard proberen een oplossing te vinden voor"
"guardian","voogd"
"inaccessible","ontoegankelijk / onbereikbaar"
"overriding","belangrijkste"
"to point out to","iemand erop wijzen"
"predominantly","voornamelijk / overwegend"
"prominence","het innemen van een belangrijke plaats / bekendheid"
"to sign up","zich aanmelden (voor iets) / zich aanmelden"
"supposedly","zogenaamd"
"to target","een bepaalde groep mensen proberen te bereiken"
"to boast","opscheppen over"
"customs","douane"
"entertaining","onderhoudend"
"fierce","woest"
"gruesome","griezelig"
"to insist on","ergens op staan"
"to obey","gehoorzamen"
"overview","overzicht"
"preoccupied with","in beslag genomen door"
"to question","in twijfel trekken"
"to resolve","oplossen"
"rest area","wegrestaurant"
"right of way","voorrang (in het verkeer) / voorrang"
"to skip","overslaan"
"torture","marteling / foltering"
"to acquire","verwerven"
"aspiration","ambitie"
"asset","voordeel"
"aversion to","afkeer van"
"deceit","bedrog"
"to derive from","ontlenen aan"
"drawback","nadeel"
"to enroll","zich inschrijven"
"to exceed","overtreffen"
"to expand","uitbreiden"
"expenses","onkosten / kosten"
"to gather","verzamelen"
"horrified","geschokt"
"inquisitive","nieuwsgierig"
"internship","stage"
"invaluable","van onschatbare waarde"
"to lack","missen"
"legendary","legendarisch / heel beroemd"
"livelihood","levensonderhoud"
"to lose count of","de tel kwijtraken"
"to migrate","rondtrekken"
"mugging","straatroof"
"to opt for","kiezen"
"packaged","verpakt"
"possessions","bezittingen"
"rash","overhaast"
"to recommend","aanbevelen"
"resourceful","vindingrijk"
"résumé","cv / curriculum vitae"
"retrospectively","met terugwerkende kracht"
"to suppress","onderdrukken"
"trainee","stagiair"
"worthwhile","de moeite waard"
"to accelerate","versnellen"
"to affect","invloed hebben op"
"busker","straatmuzikant"
"to commute","reizen"
"damages","schadevergoeding"
"disruption","ontwrichting"
"to distinguish","onderscheid maken"
"to drag","slepen"
"to eject","verwijderen"
"exhausted","uitgeput"
"to get away with","iets ongestraft kunnen doen"
"outrageous","schandelijk"
"pastry","gebakje"
"to proceed","verder gaan"
"reminder","herinnering"
"to shrink","krimpen"
"to snap","knappen"
"to be startled","schrikken"
"stone","6,35 kilo"
"to sue","vervolgen"
"torn","gescheurd"
