"animosity","vijandigheid / wrok"
"backing","steun"
"bedrock","basis"
"blotch","vlek"
"cargo","vracht / lading"
"detect","waarnemen"
"digit","cijfer"
"dwindle","afnemen"
"estimate","schatten / inschatten"
"head for","afstevenen op"
"hull","romp"
"hurdle","hindernis / obstakel"
"immortalize","vereeuwigen"
"maritime","kust-"
"oddity","vreemd iemand"
"pass away","doodgaan / overlijden"
"peerless","onovertroffen"
"perseverance","doorzettingsvermogen"
"persevere","volhouden / doorzetten"
"persistence","volharding"
"prodigy","wonderkind"
"reside","verblijven / wonen"
"sibling","broer / zus"
"unpredictable","onvoorspelbaar"
"weather depression","lagedrukgebied"
"aid","steunen / helpen"
"arthritis","reuma / gewrichtsontsteking"
"bilateral","betreffende twee landen"
"circumvent","ontduiken"
"contaminated","besmet / vervuild"
"cosmopolitan","wereld-"
"crops","gewassen"
"cultivate","kweken / telen"
"developmental aid / developmental help","ontwikkelingshulp"
"enhance","versterken / verbeteren"
"evaporate","verdampen"
"impoverished","verarmd / verpauperd"
"ingenuity","vindingrijkheid / vernuft"
"innovator","vernieuwer"
"ostensibly","klaarblijkelijk"
"perishable","aan bederf onderhevig / beperkt houdbaar"
"PhD","doctorsgraad"
"provision","voorwaarde"
"scrap","schroot / oud ijzer"
"shortlisted","genomineerd"
"solar-powered","op zonne-energie"
"squeeze","uitknijpen / knijpen"
"sustainable","duurzaam"
"terminate","beëindigen / stopzetten"
"treaty","verdrag"
"wearing","vermoeiend"
"account for","een verklaring geven voor / zich verantwoorden voor"
"affluent","rijk / welvarend"
"aggravate","verergeren"
"alienate","vervreemden"
"collaborate","samenwerken"
"corporate","bedrijfs-"
"corporation","grote onderneming"
"deficit","tekort"
"denounce","veroordelen"
"deteriorate","verslechteren"
"exhaustive","volledig"
"exploitative","uitbuitend"
"hindsight","wijsheid achteraf"
"lecture theatre","collegezaal"
"malignant","schadelijk"
"pre-requisite","vereiste / voorwaarde"
"preside over","voorzitter zijn van / voorzitten"
"pursue","trachten te bereiken / ambiëren"
"reconsider","heroverwegen"
"reform","hervorming"
"scrutiny","nauwgezet onderzoek"
"tightened","verscherpt"
"value","waarderen"
"welfare state","verzorgingsstaat"
"wrestle","worstelen"
"appeal to","in beroep gaan bij"
"assert","beweren / verklaren"
"bend","bocht"
"bias","vooroordeel"
"cast","gieten"
"chunk","brokje / stukje"
"consensus","overeenstemming"
"contend","wedijveren / strijden"
"controversial","omstreden"
"deem","beschouwen als / achten"
"defection","overlopen / geval van overlopen"
"delirious","uitzinnig"
"erudite","geleerd / met uitgebreide kennis"
"feasible","uitvoerbaar / haalbaar"
"implication","gevolg"
"ineligible","onverkiesbaar"
"intractable","onhandelbaar / eigenzinnig"
"lean","mager"
"modify","wijzigen"
"overturn","ongedaan maken"
"refute","weerleggen"
"slice","in plakken snijden"
"sneak a look","heimelijk kijken"
"straight","recht"
"stunning","ongelooflijk"
"advocate","voorstander zijn van"
"allegedly","zogenaamd"
"appalling","verschrikkelijk"
"authorize","toestemming geven"
"aversion","afkeer"
"blatant","overduidelijk"
"comply with","zich schikken naar"
"conciliatory","verzoeningsgezind"
"confirmation","bevestiging"
"conscientious objector","gewetensbezwaarde"
"constriction","beperking"
"custody","voogdij"
"define","omschrijven / definiëren"
"enforce","handhaven"
"fabricated","verzonnen"
"hearing","verhoor"
"illiteracy","analfabetisme"
"implement","uitvoeren"
"legislative","wetgevend"
"meticulous","nauwkeurig / uiterst nauwkeurig"
"permeate","zich verspreiden door / zich spreiden door"
"plausible","aannemelijk / geloofwaardig"
"regain","terugwinnen"
"reinforce","ondersteunen"
"trumped-up","verzonnen"
"unconditional","onvoorwaardelijk"
