"accompany","vergezellen"
"anticipate","voorzien"
"banquet","banket"
"be on the look-out for","op zoek zijn naar"
"crack","ontcijferen"
"cubicle","werkplek"
"go into a sulk","chagrijnig worden"
"guardian","bewaker"
"have your pick","voor het uitzoeken hebben"
"housing","onderdak"
"job fair","banenmarkt"
"look the part","perfect eruitzien"
"plug holes","gaten dichten"
"power grid","elektriciteitsnet"
"pre-schedule","inplannen"
"slip","stiekem geven"
"vulnerability","zwakheid"
"warrior","krijger"
"annual leave","verlofdagen"
"be eligible for","in aanmerking komen voor"
"child labour law","wet op de kinderarbeid"
"compensate","vergoeden"
"dictate","bepalen"
"enhance","verbeteren"
"health and safety regulations","Arbo-wetgeving"
"licensed premises","gelegenheid met drankvergunning"
"load","lading"
"National Insurance number","burgerservicenummer"
"new entrant","nieuwe medewerker"
"recognised industry training","erkende branche opleiding"
"regulation","voorschrift"
"restriction","beperking"
"schedule","inplannen"
"stationery products","kantoorbenodigdheden"
"stocktaking","de inventaris opmaken"
"subject to","afhankelijk van"
"terms and conditions","algemene voorwaarden"
"undertake","op zich nemen"
"written employment agreement","schriftelijke arbeidsovereenkomst"
"ace","met vlag en wimpel slagen"
"benefits","secundaire arbeidsvoorwaarden"
"enclosure","omheinde ruimte"
"impeccable","onberispelijk"
"net-savvy","handig met internet"
"physical shape","lichamelijke conditie"
"premier","belangrijkste"
"put your best foot forward","je beste beentje voor zetten"
"acquaintance","kennis"
"be a recipe for failure","gedoemd zijn te mislukken"
"blank space","leeg vak"
"block capitals","blokletters"
"contextual advertisement","advertentie op een webpagina"
"crumple","kreukelen"
"dependable","betrouwbaar"
"does not apply","niet van toepassing"
"enterprising","ondernemend"
"fact sheet","informatieblad"
"illegible","niet leesbaar"
"legible","leesbaar"
"not applicable","niet van toepassing"
"previous","voorgaand"
"proofread","nalezen"
"prospective","toekomstige"
"sloppy","slordig"
"TLC","liefdevolle verzorging"
"wrinkle","kreuken"
