"avalanche","lawine"
"caught unawares","verrast"
"Class A drug","harddrug"
"descent","afkomst"
"dignity","waardigheid"
"emerge","blijken"
"freak accident","bizar ongeval"
"gutter","goot"
"in circulation","in roulatie"
"in-depth","diepgaand"
"outrageous","buitensporig"
"overwhelming","overweldigend"
"premises","terrein"
"private investigator","privédetective"
"proportion","aantal"
"segregation","rassenscheiding"
"tabloid","sensatiekrant"
"tighten your grip","beter greep krijgen op iets"
"vulnerable","kwetsbaar"
"warehouse","pakhuis"
"burst its banks","overstromen"
"cultural heritage","cultuurgoed"
"down the road","een stukje verderop"
"hyphenated","verbonden met een koppelteken"
"movement","beweging"
"outskirts","aan de rand van"
"passionate","gepassioneerd"
"preserve","behouden"
"regain consciousness","weer bij bewustzijn komen"
"stranded","gestrand"
"stroke","beroerte"
"swamp","overstromen"
"trapped","niet weg kunnen komen"
"uncover","opgraven"
"water main","hoofdwaterleiding"
"winch","omhooghijsen"
"works","werkzaamheden"
"amount to","neerkomen op"
"benefit","uitkering"
"cut","inperken"
"invaluable","van onschatbare waarde"
"jobseeker's allowance","uitkering voor werkzoekenden"
"prospects","vooruitzichten"
"residential area","woonwijk"
"solicitor","advocaat"
"ward","zaal"
"furious","woedend"
"detention","nablijven"
"needless to say","het hoeft geen betoog"
"nevertheless","desondanks"
"overwhelmed","overdonderd"
"saucy","pikant"
"annual report","jaarverslag"
"charged with","aangeklaagd voor"
"conspiracy","samenzwering"
"curfew","avondklok"
"device","apparaat"
"disengage from","zich losmaken van"
"distraction","afleiding"
"dormitory","slaapzaal"
"engage in","meedoen aan"
"get around","omzeilen"
"hangover","kater"
"juvenile crime","jeugdcriminaliteit"
"keep in touch","in contact blijven"
"keep up with","bijhouden"
"lag behind","achterblijven"
"non-existent","niet-bestaand"
"nuts","knettergek"
"out of line","over de schreef"
"perception on","kijk op"
"perspective on","kijk op"
"respondent","geënquêteerde"
"suburb","buitenwijk"
"survey","enquête"
