"ananas","pineapple"
"achterdocht / argwaan","suspicion"
"arts","physician"
"bezorgdheid","concern"
"dat was de laatste druppel","it was the last straw"
"decennium","decade"
"doen denken aan","remind of"
"een brood","loaf"
"eerlijk","truthful"
"erop toezien","see to it"
"fout / defect","defect"
"het geluk hebben","be fortunate"
"hoogtepunt","peak"
"laatstgenoemde","latter"
"last","burden"
"lawaaiige menigte","mob"
"mank lopen","walk with a limp"
"metro","subway"
"naaien","sew"
"nieuweling","newcomer"
"oefening baart kunst","practice makes perfect"
"omslaan","flip"
"onbegrijpelijk","incomprehensible"
"onder andere","among other things"
"overgeven","vomit"
"overweldigend","overwhelming"
"zich verzamelen / samenkomen","gather"
"schaamte / gêne","embarrassment"
"staking","strike"
"stellig / overtuigd","firmly"
"strikvraag","trick question"
"toevallig zien","happen"
"verdragen","endure"
"verloofd","engaged"
"verontrustend","distressing"
"verwerken","process"
"voldoen aan","comply with"
"groot / zeer belangrijk","major"
"zuchten","sigh"
"zwak / klein","faint"
"aanbevelen","recommendation"
"belasting heffen op","tax"
"bepalen","determine"
"doel","purpose"
"rendement / doeltreffendheid","effectiveness"
"een teken zijn van","reflect"
"eerder / liever dan","rather than"
"geconfronteerd worden met","face"
"gemakkelijk te begrijpen","straightforward"
"gemeen / slecht","mean"
"gunstig","favourable"
"hongerdood","starvation"
"kracht","force"
"kwestie","issue"
"meningsverschil","controversy"
"mogelijk","potential"
"niet in staat zijn om","be incapable of"
"omstreden","controversial"
"onbekend zijn met","be unacquainted with"
"ontmoedigen","discourage"
"opbrengen / opleveren","bring in"
"overlopen","overflow"
"overwegen","consider"
"overwinnen","conquer"
"prikkel","incentive"
"slechts","merely"
"snel en gemakkelijk","readily"
"sterke drank","booze / liquor"
"straf","penalty"
"minimaliseren / verkleinen","minimise"
"verminderen","reduce"
"verslaafd zijn aan","be hooked on"
"voors en tegens","pros and cons"
"voorstellen","propose"
"vraag en aanbod","supply and demand"
"waarnemer","observer"
"winstgevend","profitable"
"zich richten op","focus"
"aanrijding / botsing","collision"
"aanval","assault"
"bedieningsknopjes","controls"
"begraafplaats (niet bij een kerk) / begraafplaats","cemetery"
"benadrukken","highlight"
"benzinestation","petrol station / gas station"
"betaalbaar","affordable"
"binnenvallen","invade"
"boswachter","park ranger"
"busje","van"
"voorheen","previously"
"dekken","cover"
"doorbladeren","browse through"
"egoïstisch","selfish"
"huurauto","rental car"
"iemand laten meerijden","give somebody a lift"
"iemand overhalen om iets te doen","talk somebody into"
"in een bepaalde richting gaan","head"
"jeugdherberg","youth hostel"
"knipperlicht","flashing light"
"kruising","junction / intersection"
"liften","hitchhike"
"ode aan","celebration of"
"onderdak geven aan iemand","put somebody up"
"overweg kunnen met","handle"
"rondkijken (bijvoorbeeld in een winkel)","browse around"
"slachtoffer","casualty"
"slag / veldslag","battle"
"stuur","steering wheel"
"talrijk","numerous"
"tentoongesteld voorwerp","exhibit"
"van de ene dag op de andere dag","overnight"
"vluchtstrook","shoulder / lay-by"
"voertuig","vehicle"
"voor één nacht","overnight"
"wandeltocht","hiking tour"
"Wat ...","How"
"wegrestaurant","service area"
"algemeen","universal"
"andersdenkend","dissident"
"band","tie"
"bedenken en organiseren","mastermind"
"beslissend","decisive"
"burger","citizen"
"burgeroorlog","civil war"
"ergens omheen draaien","beat about the bush"
"erkennen","acknowledge"
"erkenning","recognition"
"geneigd zijn","tend to"
"een toespraak houden","deliver a speech"
"geweer met een lange loop / geweer","rifle"
"graafschap","county"
"graag of niet","take it or leave it"
"grof","rude"
"hervorming","reform"
"hoofdkantoor","headquarters"
"huisbaas","landlord"
"huurder","tenant"
"in een flits","in a heartbeat"
"in toenemende mate / steeds meer","increasingly"
"inspannend","strenuous"
"keerpunt","turning point"
"koesteren","cherish"
"minderwaardig","inferior"
"nutteloos","futile"
"ongeveer","approximately"
"onverschilligheid","indifference"
"opzettelijk","deliberate"
"scheepswerf","shipyard"
"het streven naar / streven naar","aspiration of"
"streven naar / het streven naar / najagen","pursuit of"
"toestemming","consent"
"heel rijk / vermogend","wealthy"
"verrader","traitor"
"verraderlijk","treacherous"
"verzekeren / garanderen","ensure"
"zelfstandig","independent"
"aan de kant van de weg stoppen","pull over"
"aandoening","condition"
"aangrenzend","adjoining"
"bereiken","bring about"
"beschouwen als","regard"
"bevorderen","promote"
"bewoner","occupant"
"binnen (+periode) / binnen","within"
"binnenlands","domestic"
"Boontje komt om z'n loontje.","What goes around, comes around."
"een gebrek hebben aan","lack"
"jaarlijks","annual"
"kennis","acquaintance"
"kunnen maar beter / kunnen beter","had better"
"luchtvaartmaatschappij","airline company"
"machtig","mighty"
"mits","provided"
"monnik","monk"
"weinig voorstellend / onbelangrijk","trivial"
"onderhandelen","bargain"
"ondertussen / intussen","meanwhile"
"oprichten","establish"
"overstappen","change"
"pinautomaat","cash machine / ATM"
"plannen voor een bepaald tijdstip","schedule"
"rijkdom","riches"
"rondlopen","wander"
"roofvogel","bird of prey"
"straatverkoper","vendor"
"tientallen","dozens"
"tussen / onder","among"
"uitgeput","exhausted"
"valk","falcon"
"van enorm belang / cruciaal","crucial"
"van tevoren","in advance"
"vergelijkbaar","comparable"
"vergevorderd","advanced"
"vertoning","display"
"vertrek naar","departure for"
"voordeel hebben van","benefit from"
"vooruitgang boeken","make progress"
"wederzijds","mutual"
"Wie goed doet, goed ontmoet.","What you give is what you get."
