"apprenticeship","stage / stageperiode"
"conventional","traditioneel"
"extra-curricular","buitenschools"
"highbrow","intellectuele"
"humanities","geesteswetenschappen"
"magnify","vergroten"
"mishap","kleine tegenvaller"
"overt","openlijk / openlijke vorm van"
"parochial","kortzichtig / bekrompen"
"quadruple","verviervoudigen"
"review","controle / inspectie"
"sample","proeven / uitproberen"
"scatter","uiteenjagen / verdrijven"
"senior","hoger in rang"
"signify","betekenen"
"soothe","verzachten"
"staunch","loyaal / trouw"
"sweeping","verstrekkend / ingrijpend"
"unsurpassed","onovertroffen"
"vexing","ergerlijk"
"vibrant","levendig / vol leven"
"articulate","duidelijk uitspreken"
"artistic licence","artistieke vrijheid"
"bide your time","je tijd afwachten / je tijd afwachten (voor een goed moment)"
"comprise","bestaan uit"
"conservationist","natuurbeschermer"
"debris","brokstukken"
"deride","bespotten / belachelijk maken"
"endurance","uithoudingsvermogen"
"fondle","aaien / strelen"
"fornication","ontucht / overspel"
"gratuitous","zinloos"
"impart","doorgeven / meedelen"
"impertinent","brutaal"
"implacable","onverbiddelijk"
"inconsistent","tegenstrijdig"
"lurid","schokkend / luguber"
"oblivious","zich niet bewust"
"persuasive","overtuigend"
"predetermined","vooraf bepaald"
"prevail","de overhand hebben"
"pungent","scherp / scherp van smaak of reuk"
"unmatched","ongeëvenaard"
"allegation","beschuldiging / onbewezen beschuldiging"
"atrocious","gruwelijk"
"Chief Excecutive Officer / CEO","president-directeur / president-directeur van een groot bedrijf"
"conscientious","serieus en hardwerkend"
"constitution","grondwet"
"cutting-edge","geavanceerd / heel modern"
"dissent","van mening verschillen / afwijken"
"dissenter","afgescheidene"
"endeavour","poging"
"footage","filmbeelden / opnamen"
"gear up","zich klaarmaken"
"inconspicuous","onopvallend"
"intricate","ingewikkeld"
"judicious","verstandig"
"marked","groot / opvallend"
"rehabilitate","helpen om te reïntegreren"
"is reminiscent of","doet denken aan"
"renounce","officieel afstand doen van"
"retrieve","terugvinden"
"self-reliant","onafhankelijk"
"unparalleled","ongeëvenaard"
"wanton","moedwillig / baldadig"
"affinity","affiniteit"
"annihilate","volledig vernietigen"
"antagonize","irriteren / boos maken"
"assign","toewijzen / opdragen"
"ballot paper","stembiljet"
"beam","balk"
"command","afdwingen"
"dean","hoofd universitaire faculteit"
"defer","uitstellen"
"dote on","dol zijn op"
"eloquent","welbespraakt"
"floating voter","zwevende kiezer"
"head-on","frontaal"
"hover around","zweven rond"
"longevity","een hoge leeftijd / een lang leven"
"pinpoint","lokaliseren"
"plaster","stukadoren"
"ravenous","uitgehongerd"
"rein","teugel"
"substitute","vervangen"
"tax return","belastingaangifteformulier"
"adversary","tegenstander"
"avert","voorkomen"
"commendable","prijzenswaardig"
"conspirator","samenzweerder"
"conceive","bedenken"
"contrive","bedenken / verzinnen"
"counterfeit","vervalst"
"denunciation","sterke kritiek / openlijke veroordeling"
"devour","verslinden"
"dilapidated","vervallen"
"discord","onenigheid"
"domineering","dominant / overheersen"
"imperceptible","onmerkbaar"
"implausible","ongeloofwaardig"
"perceptive","scherpzinnig"
"periphery","rand van een gebied"
"rectangular","rechthoekig"
"refrain from","zich onthouden van"
"stir","beroering, sensatie"
"urban legends","broodjeaapverhaal"
"verifiable","controleerbaar"
"whistle-blower","klokkenluider"
