ID,Vraag,Antwoord,Taal vraag,Taal antwoord,Methode en hoofdstuk
1,amazing,geweldig,Engels,Nederlands,AllRight2-1v-H1-EN
2,animal,dier,Engels,Nederlands,AllRight2-1v-H1-EN
3,artist,kunstenaar,Engels,Nederlands,AllRight2-1v-H1-EN
4,beach,strand,Engels,Nederlands,AllRight2-1v-H1-EN
5,cousin,neef / nicht,Engels,Nederlands,AllRight2-1v-H1-EN
6,delete,wissen / verwijderen,Engels,Nederlands,AllRight2-1v-H1-EN
7,different,verschillende,Engels,Nederlands,AllRight2-1v-H1-EN
8,excited,opgewonden,Engels,Nederlands,AllRight2-1v-H1-EN
9,exciting,spannend,Engels,Nederlands,AllRight2-1v-H1-EN
10,fair,eerlijk,Engels,Nederlands,AllRight2-1v-H1-EN
11,holiday,vakantie,Engels,Nederlands,AllRight2-1v-H1-EN
12,interesting,interessant,Engels,Nederlands,AllRight2-1v-H1-EN
13,job,baan / baantje,Engels,Nederlands,AllRight2-1v-H1-EN
14,match,wedstrijd,Engels,Nederlands,AllRight2-1v-H1-EN
15,monkey,aap / chimpansee,Engels,Nederlands,AllRight2-1v-H1-EN
16,shark,haai,Engels,Nederlands,AllRight2-1v-H1-EN
17,snake,slang,Engels,Nederlands,AllRight2-1v-H1-EN
18,trip,reis,Engels,Nederlands,AllRight2-1v-H1-EN
19,wave,golf,Engels,Nederlands,AllRight2-1v-H1-EN
20,whole,heel,Engels,Nederlands,AllRight2-1v-H1-EN
21,You're lucky!,Je hebt geluk!,Engels,Nederlands,AllRight2-1v-H1-EN
22,address,adres,Engels,Nederlands,AllRight2-1v-H1-EN
23,building,gebouw,Engels,Nederlands,AllRight2-1v-H1-EN
24,busy,druk,Engels,Nederlands,AllRight2-1v-H1-EN
25,cinema,bioscoop,Engels,Nederlands,AllRight2-1v-H1-EN
26,city,stad,Engels,Nederlands,AllRight2-1v-H1-EN
27,crazy,gek,Engels,Nederlands,AllRight2-1v-H1-EN
28,famous,beroemd,Engels,Nederlands,AllRight2-1v-H1-EN
29,interested,geïnteresseerd,Engels,Nederlands,AllRight2-1v-H1-EN
30,language,taal,Engels,Nederlands,AllRight2-1v-H1-EN
31,letter,brief,Engels,Nederlands,AllRight2-1v-H1-EN
32,mall / shopping centre,winkelcentrum,Engels,Nederlands,AllRight2-1v-H1-EN
33,message,bericht / boodschap,Engels,Nederlands,AllRight2-1v-H1-EN
34,spend,besteden,Engels,Nederlands,AllRight2-1v-H1-EN
35,visit,bezoeken,Engels,Nederlands,AllRight2-1v-H1-EN
36,watch TV,tv-kijken,Engels,Nederlands,AllRight2-1v-H1-EN
37,quite,nogal,Engels,Nederlands,AllRight2-1v-H1-EN
38,difference,verschil,Engels,Nederlands,AllRight2-1v-H1-EN
39,female,vrouwelijk,Engels,Nederlands,AllRight2-1v-H1-EN
40,get in touch with / contact,contact opnemen met,Engels,Nederlands,AllRight2-1v-H1-EN
41,glasses,bril,Engels,Nederlands,AllRight2-1v-H1-EN
42,male,mannelijk,Engels,Nederlands,AllRight2-1v-H1-EN
43,maths,wiskunde,Engels,Nederlands,AllRight2-1v-H1-EN
44,pet,huisdier,Engels,Nederlands,AllRight2-1v-H1-EN
45,practise,oefenen,Engels,Nederlands,AllRight2-1v-H1-EN
46,reason,reden,Engels,Nederlands,AllRight2-1v-H1-EN
47,record,opnemen,Engels,Nederlands,AllRight2-1v-H1-EN
48,secret,geheim,Engels,Nederlands,AllRight2-1v-H1-EN
49,silly / crazy,raar / maf,Engels,Nederlands,AllRight2-1v-H1-EN
50,soccer / football,voetbal,Engels,Nederlands,AllRight2-1v-H1-EN
51,teach,onderwijzen / leren,Engels,Nederlands,AllRight2-1v-H1-EN
52,biology,biologie,Engels,Nederlands,AllRight2-1v-H1-EN
53,borrow,lenen,Engels,Nederlands,AllRight2-1v-H1-EN
54,dancing,dansen,Engels,Nederlands,AllRight2-1v-H1-EN
55,lesson,les,Engels,Nederlands,AllRight2-1v-H1-EN
56,main,belangrijkste / grootste,Engels,Nederlands,AllRight2-1v-H1-EN
57,nearly / almost,bijna,Engels,Nederlands,AllRight2-1v-H1-EN
58,prefer,liever doen / voorkeur geven aan,Engels,Nederlands,AllRight2-1v-H1-EN
59,same,zelfde,Engels,Nederlands,AllRight2-1v-H1-EN
60,soon,snel / gauw,Engels,Nederlands,AllRight2-1v-H1-EN
61,geloven,believe,Nederlands,Engels,AllRight2-1v-H1-NE
62,mee eens zijn,agree,Nederlands,Engels,AllRight2-1v-H1-NE
63,groot / hoog,big,Nederlands,Engels,AllRight2-1v-H1-NE
64,saai,boring,Nederlands,Engels,AllRight2-1v-H1-NE
65,land,country,Nederlands,Engels,AllRight2-1v-H1-NE
66,grappig,funny,Nederlands,Engels,AllRight2-1v-H1-NE
67,blij,happy / glad,Nederlands,Engels,AllRight2-1v-H1-NE
68,warm,hot,Nederlands,Engels,AllRight2-1v-H1-NE
69,weggaan,leave,Nederlands,Engels,AllRight2-1v-H1-NE
70,leuk vinden / lekker vinden,like / enjoy,Nederlands,Engels,AllRight2-1v-H1-NE
71,ontmoeten,meet,Nederlands,Engels,AllRight2-1v-H1-NE
72,nieuws,news,Nederlands,Engels,AllRight2-1v-H1-NE
73,bellen,phone / call,Nederlands,Engels,AllRight2-1v-H1-NE
74,lezen,read,Nederlands,Engels,AllRight2-1v-H1-NE
75,nemen / meenemen,take,Nederlands,Engels,AllRight2-1v-H1-NE
76,leraar,teacher,Nederlands,Engels,AllRight2-1v-H1-NE
77,vertellen,tell,Nederlands,Engels,AllRight2-1v-H1-NE
78,sms'en,text,Nederlands,Engels,AllRight2-1v-H1-NE
79,reizen,travel,Nederlands,Engels,AllRight2-1v-H1-NE
80,wereld,world,Nederlands,Engels,AllRight2-1v-H1-NE
81,jaar,year,Nederlands,Engels,AllRight2-1v-H1-NE
82,vrouw / echtgenote,wife,Nederlands,Engels,AllRight2-1v-H1-NE
83,slaapkamer,bedroom,Nederlands,Engels,AllRight2-1v-H1-NE
84,broer,brother,Nederlands,Engels,AllRight2-1v-H1-NE
85,vriend / vriendin,friend,Nederlands,Engels,AllRight2-1v-H1-NE
86,spel,game,Nederlands,Engels,AllRight2-1v-H1-NE
87,tuin,garden,Nederlands,Engels,AllRight2-1v-H1-NE
88,meisje,girl,Nederlands,Engels,AllRight2-1v-H1-NE
89,geweldig,great,Nederlands,Engels,AllRight2-1v-H1-NE
90,wonen,live,Nederlands,Engels,AllRight2-1v-H1-NE
91,film,movie,Nederlands,Engels,AllRight2-1v-H1-NE
92,luisteren,listen,Nederlands,Engels,AllRight2-1v-H1-NE
93,ouders,parents,Nederlands,Engels,AllRight2-1v-H1-NE
94,spelen,play,Nederlands,Engels,AllRight2-1v-H1-NE
95,zus,sister,Nederlands,Engels,AllRight2-1v-H1-NE
96,spreken,speak,Nederlands,Engels,AllRight2-1v-H1-NE
97,groot,tall,Nederlands,Engels,AllRight2-1v-H1-NE
98,schrijven,write,Nederlands,Engels,AllRight2-1v-H1-NE
99,leeftijd,age,Nederlands,Engels,AllRight2-1v-H1-NE
100,vogel,bird,Nederlands,Engels,AllRight2-1v-H1-NE
101,verjaardag,birthday,Nederlands,Engels,AllRight2-1v-H1-NE
102,hond,dog,Nederlands,Engels,AllRight2-1v-H1-NE
103,gezin,family,Nederlands,Engels,AllRight2-1v-H1-NE
104,vriendelijk,friendly,Nederlands,Engels,AllRight2-1v-H1-NE
105,haar,hair,Nederlands,Engels,AllRight2-1v-H1-NE
106,huiswerk,homework,Nederlands,Engels,AllRight2-1v-H1-NE
