"abolish","afschaffen"
"address","aanspreken"
"agriculture","landbouw"
"beat","kloppen"
"by force","met geweld"
"cable car","gondel van een kabelbaan"
"cheap labour","goedkope arbeidskrachten"
"civilian population","burgerbevolking"
"community","gemeenschap"
"contribution","bijdrage"
"craftsman","vakman"
"defeat","verslaan"
"destroy","vernietigen"
"disapprove","afkeuren"
"dough","deeg"
"entire","volledig / heel"
"era","tijdperk"
"establish","vestigen / opzetten"
"etiquette","etiquette / gedragsvormen"
"extend","reiken"
"former","voormalig"
"fortune seeker","gelukzoeker"
"funds","geld / middelen"
"gambling","gokken"
"gossip","roddelen"
"harsh","heel zwaar"
"incurable","ongeneeslijk"
"lack of","tekort aan"
"landmark","belangrijke plaats"
"legal","juridisch"
"lighthouse","vuurtoren"
"manufacturing","productie industrie / industrie"
"margin","kantlijn"
"merchant","koopman / handelaar"
"merge","fuseren / samengaan"
"mining","mijnbouw"
"minority","minderheid"
"navigator","stuurman"
"neglect","verwaarlozen"
"ostrich","struisvogel"
"perform","uitvoeren"
"pneumonia","longontsteking"
"pronounce","verklaren"
"rebuild","herbouwen"
"resemble","lijken op"
"royal court","hof"
"senior citizen","oudere / gepensioneerde"
"settler","kolonist"
"shovel","schop"
"suppression","onderdrukking"
"surface","oppervlak"
"surgeon","chirurg"
"territory","gebied"
"tribe","stam"
"undertake","ondernemen"
"visible","zichtbaar"
