"ability","vermogen"
"borough","gemeente / stadsdeel"
"cattle","vee"
"CCTV","camerabewaking"
"to crack down on","met harde hand optreden tegen"
"to delude","bedriegen"
"to detect","bespeuren / ontdekken"
"eventually","uiteindelijk"
"flawless","perfect / foutloos"
"initially","aanvankelijk"
"in short","kortom"
"meanwhile","intussen"
"occasionally","af en toe"
"to police","bewaken (door de politie) / bewaken"
"proportion","deel"
"rarely","zelden"
"to reside","wonen (formeel) / wonen"
"significant","aanzienlijk"
"whiner","zeurpiet"
"accessibility","toegankelijkheid"
"to accomplish","volbrengen / bereiken"
"to address","aanpakken"
"administrator","iemand van de leiding"
"alienated","vervreemd"
"alienation","vervreemding"
"antidote","middel tegen negatieve effecten"
"arbitrary","willekeurig"
"authentic","echt"
"beyond","verder dan"
"boundary","grens"
"compassionate","meelevend en begripsvol"
"comprehensive","veelomvattend / uitgebreid"
"to conduct","leiden"
"to contribute to","bijdragen aan"
"to define","omschrijven"
"dignity","waardigheid"
"educator","onderwijsdeskundige"
"findings","conclusies (van een onderzoek) / conclusies"
"gesture","gebaar"
"guidelines","richtlijnen"
"to heighten","verhogen (van een gevoel) / verhogen"
"imposition","oplegging"
"to inflict pain on","iemand laten lijden"
"intervention","tussenkomst (om erger te voorkomen) / tussenkomst"
"issue","nummer (van krant/tijdschrift) / nummer"
"to lessen","verkleinen"
"likelihood","waarschijnlijkheid"
"to nourish","voeden"
"to nurture","(iets helpen) ontwikkelen / ontwikkelen"
"to observe","opmerken"
"outburst","uitbarsting"
"to be overwhelmed by","zich overvallen voelen door iets"
"probability","waarschijnlijkheid"
"renowned","beroemd en gerespecteerd"
"to resort to","zijn toevlucht nemen tot (iets negatiefs) / zijn toevlucht nemen tot"
"solely","slechts"
"to strive for","streven naar"
"late","wijlen / de overleden"
"thus","aldus / op die manier"
"transgression","overtreding"
"anxious","ongerust"
"to browse","bladeren"
"commitment","grote inzet"
"to emphasize","benadrukken"
"to evade","ontwijken"
"furious","woedend"
"newsagent's","kiosk"
"to persuade","overhalen"
"prejudice","vooroordeel"
"rage","woede"
"ratings","kijkcijfers"
"reassuring","geruststellend"
"to refer","verwijzen"
"to reject","afwijzen"
"reluctantly","met tegenzin"
"resentment","haat / wrok"
"survey","onderzoek (naar de mening van mensen) / onderzoek"
"tabloid","roddelblad"
"access","toegang"
"to assemble","in elkaar zetten"
"commodities","luxeartikelen"
"conceited","verwaand"
"council","gemeenteraad"
"council house","(gehuurde) gemeentewoning / gemeentewoning"
"detention","opsluiting"
"to have detention","nablijven op school"
"disgraceful","schandalig"
"down-to-earth","nuchter"
"to flee","ontvluchten / vluchten uit"
"indifferent","onverschillig"
"modest","bescheiden"
"odd","vreemd"
"offensive","beledigend"
"persecution","vervolging"
"mortgage","hypotheek"
"reliable","betrouwbaar"
"ruthless","meedogenloos"
"sensible","verstandig"
"uptight","zenuwachtig"
"vain","ijdel"
"to abandon","verlaten"
"apprentice","stagiair / stagiaire"
"compulsive","dwangmatig"
"demanding","veeleisend"
"District Attorney","procureur-generaal (AE) / procureur-generaal"
"eerie","akelig"
"to employ","in dienst hebben"
"encounter","ontmoeting"
"executive","leidinggevende / directeur"
"to exile","verbannen"
"extraordinary","uitzonderlijk"
"jeopardy","gevaar"
"to mask","verbergen"
"prospective","toekomstige / verwachte"
"to reveal","onthullen"
"spine","ruggegraat"
"staggering","ongelooflijk (groot) / ongelooflijk"
"stakes","inzet / weddenschap"
"triangle","driehoek"
