"allied","verbonden"
"beverage","drank"
"bogus","nep"
"box office","loket"
"designated","aangewezen"
"destiny","lot"
"entitle","recht geven"
"humanity","menselijkheid"
"involvement","betrokkenheid"
"physical","feitelijk"
"redeem","inwisselen voor"
"reschedule","datum of veranderen"
"retail outlet","winkel"
"secure","bemachtigen"
"spectator","toeschouwer"
"verification","bevestiging"
"basics","elementaire"
"competitive","prestatiegericht"
"funding","financiering"
"gracefully","gracieus"
"humble","bescheiden"
"melting pot","smeltkroes"
"property tax","onroerendzaakbelasting (belasting op woningen)"
"reminder","herinnering"
"running track","atletiekbaan"
"rural","landelijk"
"scholarship","studiebeurs"
"stands","tribune"
"suburban","voorstedelijk"
"vital","essentieel"
"action-packed","vol actie"
"amazement","verwondering"
"mind","oppassen"
"one-of-a-kind","uniek"
"sell-out","uitverkocht"
"spell","betovering"
"stallion","hengst"
"versus","tegen"
"dedicated","toegewijd"
"discouraged","ontmoedigd"
"endurance","uithoudingsvermogen"
"give it your all","alles geven"
"lap","baanronde"
"out of shape","in slechte conditie"
"specifically designed","speciaal ontworpen"
"steadily","gestaag"
"acclaimed","hooggewaardeerde"
"awards ceremony","prijsuitreiking"
"conclude","eindigen"
"consecutive","opeenvolgend"
"coverage","verslaggeving"
"exhilarating","spannend"
"formalize","formaliseren"
"gateway","poort"
"give in","toegeven"
"highlight","benadrukken"
"host","gastheer"
"in remembrance of","ter nagedachtenis aan"
"javelin","speer"
"live up to","waarmaken"
"notable","opmerkelijk"
"pentathlon","vijfkamp"
"raise the bar","de lat hoger leggen"
"reigning","huidig"
"relay","estafette"
"seat","zitplaatsen hebben voor"
"supremacy","suprematie"
"tune in to","afstemmen op"
"vault","kluis"
"winning streak","een reeks overwinningen"
"wreath","krans"
