"actualiteiten","current affairs"
"breedte","breadth"
"dapper","brave"
"koekje van eigen deeg","taste of her own medicine"
"eerstejaarsstudent","freshman"
"hervormen / omvormen","transform"
"Ik heb twee linkerhanden.","I'm all thumbs."
"zich laten meeslepen","get carried away"
"leeftijdgenoot","peer"
"lening","loan"
"naar de knoppen","down the drain"
"nastreven","pursue"
"noch … noch","neither … nor"
"onzin","rubbish"
"op de lange termijn","in the long run"
"op voorraad","in stock"
"opiniepeiling","opinion poll"
"samenwerking","collaboration"
"schadelijk voor","damaging to"
"schoolgeld / collegegeld","tuition fees / tuition"
"leerplan","curriculum"
"spanning / druk","strain"
"stof tot nadenken","food for thought"
"stroom","current"
"studiebijeenkomst","seminar"
"studieopdrachten","coursework"
"techniek","engineering"
"uitbreiden","expand"
"uitstekend","outstanding"
"universitair","academic"
"universitair student","undergraduate"
"Verre van dat.","Far from it."
"verwijzen naar","refer to"
"voor één nacht","overnight"
"wat betreft","as for"
"woon-","residential"
"achting","esteem"
"afleiden van","distract from"
"afprijzen","discount"
"afschrikken / afhouden","deter"
"als hoofdvak hebben","major"
"dag van afstuderen","graduation day"
"benijden","envy"
"berekenen","figure"
"blijvend","lasting"
"cv","résumé"
"een appeltje te schillen hebben met","have a score to settle with"
"eerstehulpafdeling","casualty"
"er is meer dan op het eerste gezicht lijkt","there's more than meets the eye"
"geldigheidsduur / geldigheid","validity"
"goed van pas komen","come in handy"
"geschikt / handig","convenient"
"Het is zijn eigen schuld.","It serves him right."
"ironisch bedoeld","tongue-in-cheek"
"je kalmte verliezen","lose your temper"
"manusje-van-alles","jack-of-all-trades"
"onvoorspelbaar","unpredictable"
"onwel","out of sorts"
"op de hoogte blijven van","keep track of"
"overgang","transition"
"plaatsing","posting"
"ruimdenkend / progressief","liberal"
"slingerend / kronkelend","winding"
"slopen / afbreken","demolish"
"uitbuiten","exploit"
"van binnen en van buiten","inside out"
"van de ene op de andere dag","overnight"
"verduidelijken","clarify"
"vernederen","humiliate"
"veroorzaken (van iets slechts) / veroorzaken","trigger off"
"voordeel halen uit","take advantage of"
"wasmiddel","detergent"
"aannemen","employ"
"aannemen dat","take it that"
"wijd en zijd / alom","widely"
"arbeidsloopbaan","career path"
"beginnen aan","embark on"
"bestemming","destination"
"bijkomend / extra","additional"
"duur (zn) / duur","duration"
"een breed scala aan","a wide range of"
"een fluitje van een cent","a piece of cake"
"eigenschap","quality"
"en terecht","and rightly so"
"er niet in slagen om","fail to"
"gelet op","in the light of / in light of"
"geschikt / behoorlijk","proper"
"gids","guidebook"
"grondig","thorough"
"inzicht krijgen in","gain insight into"
"je weg weer vinden","find your bearings again"
"juweeltje","gem"
"nadenken","reflect"
"onder andere","among other things"
"ongeacht","regardless of"
"op het gebied van","in the field of"
"overwegend","predominantly"
"patroon","pattern"
"schoolverlater","school leaver"
"te wijten aan","due to"
"tegen beter weten in","against better judgment"
"uitzoeken / sorteren","sort out"
"van tevoren","in advance"
"verlichten","ease"
"verscheidenheid","diversity"
"verwerven","acquire"
"vrij nemen","take off"
"zinvol / waardevol","worthwhile"
"wild (zelfstandig naamwoord) / wild","wildlife"
"analfabeet","illiterate"
"beheersen","master"
"bijeenkomst","assembly"
"botsen","collide"
"concurreren met","compete with"
"eetlust","appetite"
"fundering","foundation"
"inleveren","hand in"
"in overeenstemming brengen","reconcile"
"leeuwendeel / grootste deel","bulk"
"olie op het vuur gooien","add oil to the fire"
"onderdeel","component"
"ondiep","shallow"
"onpartijdig","impartial"
"ontslag(en) (wegens overtolligheid) / ontslag / ontslagen","redundancy"
"op één paard wedden","put all your eggs in one basket"
"ophalen / opfrissen","brush up"
"percentage","rate"
"reisbeschrijving / routebeschrijving","itinerary"
"ruimschoots / voldoende","ample"
"slim en oplettend","savvy"
"taal- / taalkundig","linguistic"
"toegewijd","committed"
"verboden terrein","off limits"
"verdragen","put up with"
"vergezocht","far-fetched"
"verminderen","cut down"
"versterken","intensify"
"vertegenwoordigen","represent"
"vertrekken naar","depart for"
"vervolgens / daarna","subsequently"
"vreemd genoeg","oddly enough"
"weeshuis","orphanage"
"zuur","acid"
"aanbeveling","recommendation"
"aanvraag / aanmelding","application"
"aanwijzingen / instructies","directions"
"als bijvak studeren","minor in"
"als hoofdvak studeren","major in"
"bezuinigen","economise"
"CKV","culture and art education"
"diploma","certificate"
"doelloos","aimless"
"drievoudig / driedubbel","triple"
"economie (studievak) / economie","economics"
"geestelijken","clergy"
"gestrest / gespannen","uptight"
"het tocht","there's a draught"
"hut","cabin"
"informatica","computer science"
"jl. / jongstleden","last"
"kalend","balding"
"karton","cardboard"
"kwetsbaar","fragile"
"les hebben (in een schoolvak) / les hebben","take"
"mijn studie","my studies"
"moeite hebben met","have trouble with"
"op het verkeerde paard wedden","back the wrong horse"
"op het vwo zitten","attend a school of pre-university education"
"overspel","adultery"
"reiskosten","travelling expenses"
"richtlijn","guideline"
"schuim","foam"
"ten goede komen","benefit"
"typefout","typo"
"uittrekken (kleren) / uittrekken","take off"
"vergoeding","refund"
"verleidelijk / aanlokkelijk","tempting"
"voeren / strijden","wage"
"voorbehoedsmiddel","contraceptive"
"zodoende / aldus","thus"
