"beautify","verfraaien"
"bubble letters","ballonletters"
"commission","opdracht geven voor"
"commitment","toewijding"
"crane","hijskraan"
"disrespectful","respectloos"
"distinctive","kenmerkend"
"frisk","fouilleren"
"in the final analysis","uiteindelijk"
"inescapable","onontkoombaar"
"legitimize","wettigen"
"select","exclusief"
"showcase","presentatie"
"stencil","stencilafdruk"
"striking","opvallend"
"witty","geestig"
"A-level","Brits eindexamenniveau vergelijkbaar met vwo"
"bash","slaan"
"be blown away by","ondersteboven zijn van"
"booth","stand"
"carving knife","vleesmes"
"chitterlings","varkensingewanden"
"chop","karbonade"
"cliffhanger","spannend einde aan een aflevering of verhaal"
"drive me around the bend","me knettergek maken"
"editor","redacteur"
"grizzly","griezelig"
"hesitant","aarzelend"
"hunch","voorgevoel"
"pail","emmer"
"piece of mind","gemoedsrust"
"pigswill","vloeibaar varkensafval"
"plain","duidelijk"
"poster girl","lichtend voorbeeld"
"remorse","spijt"
"spot on","precies goed"
"trade fair","vakbeurs"
"allocate","toewijzen"
"assemble","verzamelen"
"assembly hall","aula"
"cast","bezetting"
"exhibit","voorwerp in een tentoonstelling"
"flex","gebruiken"
"get going","opschieten"
"graphic designer","grafisch ontwerper"
"lighting rig","lichtinstallatie"
"prop","rekwisiet"
"raffle","tombola"
"raise awareness of","mensen bewust maken van"
"sculpt","beeldhouwen"
"staple gun","nietpistool"
"on display","tentoongesteld"
"breeze","bries"
"cinematic","in een film"
"computer generated","gemaakt door een computer"
"credits","aftiteling"
"customize","op maat maken"
"get on the bandwagon","met de grote massa meedoen"
"gore","gestold bloed"
"in keeping with","in overeenstemming met"
"lucrative","lucratief"
"mathematical formula","wiskundige formule"
"mould","vorm die als model dient"
"mouldable","kneedbaar"
"old-school","ouderwets"
"pay up front","vooraf betalen"
"people in the know","insiders"
"product placement","sluikreclame"
"sculptor","beeldhouwer"
"swap","ruilen"
"texture","manier waarop iets aanvoelt"
"tourism agency","bureau toerisme"
"wizardry","tovenarij"
