"aspiring","ambitieus"
"bland","flauw / saai"
"bourgeoisie","middenklasse"
"coincidence","toeval / samenloop van omstandigheden"
"dabble in","zich een beetje bezighouden met"
"deduce from","afleiden uit / opmaken uit"
"denounce","veroordelen"
"disrupt","ontwrichten / verstoren"
"drag","slepen"
"estate agent","makelaar"
"evasion","ontduiking"
"exchequer","staatskas / schatkist"
"groin","kruis / liezen"
"hefty","stevig / zwaar"
"lurid","luguber / huiveringwekkend"
"perpetuate","handhaven / laten voortduren"
"rally","zich scharen"
"realm","rijk / gebied"
"resurrect","weer leven inblazen"
"reveller","feestvierder"
"sanitation","sanitaire voorzieningen / toiletten"
"sludge","slijk"
"sodden","kletsnat"
"spaced-out","versuft"
"wander off","afdwalen van"
"ambiguous","dubbelzinnig / onduidelijk"
"analogy","vergelijking / overeenkomst"
"arouse","opwekken"
"attribute to","toeschrijven aan"
"assent to","instemmen met"
"charcoal","houtskool"
"collaboration","samenwerking"
"commission to","opdracht geven om"
"condemn","veroordelen"
"deem","beschouwen als / zien als"
"derogatory","minachtend / beledigend"
"devotion","toewijding"
"disown","verstoten / afwijzen"
"determination","vastberadenheid"
"embody","belichamen"
"frequent","regelmatig bezoeken"
"infamous","berucht"
"inquisitive","nieuwsgierig"
"merit","waarde / verdienste"
"seduce","overhalen / verleiden"
"sequence","volgorde"
"solicit","verzoeken om / vragen om"
"withhold","achterhouden"
"advocate","bepleiten"
"axe","bijl"
"caption","onderschrift"
"cast-iron","gietijzeren"
"combat","bestrijden"
"commemorate","herdenken"
"commend","prijzen"
"conjure up","oproepen"
"conservation","bescherming / behoud"
"craftsman","ambachtsman"
"deformed","misvormd"
"degrade","vernederen"
"deploy","inzetten"
"disquieting","verontrustend"
"elaborate on","uitweiden over"
"endorse","steunen / in het openbaar steunen"
"ensure","garanderen"
"exemplify","toelichten"
"exposure","blootstelling"
"extensively","veel"
"fashion","vormen"
"imperial","keizerlijk"
"mediocre","middelmatig"
"resistance","weerstand"
"tapestry","wandtapijt"
"assess","vaststellen"
"breeches","kniebroek"
"cast","de rol geven"
"dumbfounded","stomverbaasd / sprakeloos"
"enchanting","betoverend / verrukkelijk"
"envisage","zich voorstellen"
"grapple with","worstelen met / worstelen met een probleem"
"guts","moed / lef"
"have issues with","problemen hebben met"
"manor","landhuis"
"modification","wijziging"
"perpetual","constant"
"preposterous","belachelijk / absurd"
"preservation","het bewaren / het goed houden"
"progeny","nageslacht"
"rational","verstandig / logisch"
"sex up","opleuken"
"shrewd","slim / gewiekst"
"sophisticated","ingewikkeld"
"susceptible to","gevoelig voor"
"reveal","onthullen"
"submit","indienen / voorleggen"
"subscribe to","zich abonneren op"
"vanish","verdwijnen"
"verify","op juistheid onderzoeken"
"adultery","overspel"
"amble","slenteren"
"make atonement","boete doen"
"brazen","schaamteloos"
"commitment","grote inzet / toewijding"
"compelling","aangrijpend / ontroerend"
"deterioration","achteruitgang"
"embodiment","belichaming"
"engage","in beslag nemen"
"engaging","charmant"
"enticing","verleidelijk"
"expire","aflopen"
"haunting","wat je blijft achtervolgen / wat je niet loslaat"
"inconspicuous","onopvallend"
"infantile","kinderlijk / infantiel"
"lure away","weglokken"
"mock","de spot drijven met"
"orchestrate","organiseren"
"overly","té / te"
"restore","restaureren"
"retreat","zich terugtrekken"
"scorching","gloeiend"
"submit","indienen / indienen ter goedkeuring"
"subsequent","eropvolgend"
"sue","aanklagen"
