"16 worden","to turn 16"
"aan boord van","aboard"
"aanpakken / omgaan met","to handle"
"begrafenis","funeral"
"bewoner","resident"
"bovendien","moreover"
"collega","colleague"
"concurreren","to compete"
"dalen / verminderen","to decrease"
"geboren","native"
"gebrekkig","faulty"
"geweldig","tremendous"
"gezaghebbend","prestigious"
"gezinslid","member of the family"
"juwelen","jewellery"
"katoen / katoenen","cotton"
"kennis","acquaintance"
"kinderjaren","childhood"
"kwetsbaar","vulnerable"
"magazijn","warehouse"
"noodgeval","emergency"
"onbetaalbaar","priceless"
"opladen","to charge"
"opvoeden","to raise"
"overleving","survival"
"puber","adolescent"
"standbeeld","statue"
"toeval","coincidence"
"uit elkaar vallen","to fall apart"
"uitpakken","to unwrap"
"uitrusting","equipment"
"van gedachten veranderen","to change one's mind"
"verkering hebben met","to date"
"verwijderen","to remove"
"voetganger","pedestrian"
"volwassene","adult"
"voorzieningen","supplies"
"vroegere","former"
"zich verzetten tegen","to oppose"
"aankomen (gewicht) / aankomen","to put on"
"baksteen","brick"
"begripvol","understanding"
"beperken","to limit"
"bestaan","existence"
"correct","properly"
"ergerlijk","annoying"
"ergernis","annoyance"
"gebied","territory"
"gids","guide"
"grof","rude"
"in verlegenheid brengen","embarrassed"
"met in de hoofdrol","starring"
"meedoen aan","to join in"
"moeite doen","to make an effort"
"nauwelijks","barely"
"nieuwsgierig","curious"
"ongebruikelijk","unusual"
"ongelukkig","unfortunate"
"onnauwkeurig","inaccurate"
"opdagen","to turn up"
"plaatselijke bewoner","local"
"plegen / begaan","to commit"
"plek","spot"
"sfeer","atmosphere"
"slikken","to swallow"
"soepel","flexible"
"tenminste","at least"
"van plan zijn om","to intend"
"verder / bovendien","furthermore"
"verdraagzaam","tolerant"
"verduren","to bear"
"verlegen","shy"
"vermijden","to avoid"
"verspillen","to waste"
"vol vertrouwen","confident"
"vooraf / van tevoren","in advance"
"waarderen","to appreciate"
"woonwijk","residential area"
"zintuig","sense"
"zwaaien naar","to wave at"
"bang","scared"
"begeleid","guided"
"behandelen","to cover"
"betaalbaar","affordable"
"beu zijn","to be fed up"
"bijwonen","to attend"
"boeiend","fascinating"
"deelnemer / kandidaat","contestant"
"de moeite waard","worthwhile"
"de riem aantrekken","tighten the belt"
"gastgezin","host family"
"huidig","current"
"iets als vanzelfsprekend aannemen","to take things for granted"
"kelderverdieping","basement"
"kwestie","matter"
"laten zien","to display"
"meedoen aan","to take part in"
"nieuwste (meest recente) / nieuwste","latest"
"omroep / zender","broadcaster"
"oprecht","sincere"
"optreden","performance"
"peperkoek","gingerbread"
"profijt hebben van","to benefit from"
"regelen","to arrange"
"rijk","well-to-do"
"schitterend","gorgeous"
"smaak","taste"
"ten goede","for the better"
"tientallen","dozens"
"uitzending","broadcast"
"verbieden","to ban"
"verontrustend","disturbing"
"verraden","to betray"
"verwennen / verpesten","to spoil"
"vieren","to celebrate"
"voeden","to fuel"
"vooroordeel","prejudice"
"waar het op neerkomt","the bottom line is"
"wijlen (overleden) / wijlen","late"
"woestijn","desert"
"zich vergissen","to be mistaken"
"alles bij elkaar","all in all"
"allochtoon","immigrant"
"asielzoeker","asylum seeker"
"bv.","e.g."
"belangrijke","major"
"om de beurt","in turn"
"bij voorkeur","preferably"
"d.w.z.","i.e."
"eerlijk gezegd","frankly"
"gemeentehuis","Town Hall"
"gokje nemen","to take a gamble"
"gratis","free"
"heersen","to rule"
"huidig","present"
"immers","after all"
"in feite","actually"
"in goede conditie blijven","to keep in shape"
"in plaats daarvan","instead"
"integendeel","on the contrary"
"intussen","in the meantime"
"kiezen","to elect"
"merk","brand"
"minder belangrijk","minor"
"minderheid","minority"
"niettemin","still"
"onderneming / zaak","enterprise"
"ongetwijfeld","undoubtedly"
"politicus","politician"
"samenleving","society"
"stemmen","to vote"
"storen","to bother"
"toegangsprijs","entrance fee"
"vertrouwen op","to trust"
"vooral / bijzonder","particularly"
"vorderingen maken","to get ahead"
"wat betreft","with regard to"
"zelden","rarely"
"zich veroorloven","to afford"
"zoeken","to look for"
"als gevolg daarvan","as a result of that"
"bedrijfsleven","industry"
"behouden","to maintain"
"beroep","occupation"
"beschikbaar","available"
"bijdrage","contribution"
"erop staan dat","to insist on"
"gemiddeld","average"
"gids","guide"
"goede doel","cause"
"in dat geval","in that case"
"in de buurt van","near"
"jeugdherberg","youth hostel"
"klas","form"
"óf ... óf","either … or"
"onderdak","accommodation"
"ontslaan","to fire"
"overwegen om","to consider"
"plukken","to pick"
"rondleiding","tour"
"saai","boring"
"scala / verscheidenheid","range"
"tentoonstelling","exhibition"
"trots op","proud of"
"vaardigheden","skills"
"verantwoordelijkheid","responsibility"
"vereisen","to require"
"verscheidene","various"
"voldoening","satisfaction"
"voor de kost doen","to do for a living"
"vooruitzichten","prospects"
"vraag en aanbod","supply and demand"
"vrijwilliger","volunteer"
"vrijwilligerswerk","voluntary work"
"zeer groot / belangrijk","major"
"zich aansluiten bij","to join"
"zich verheugen op","to look forward to"
"zich voorstellen","to imagine"
