"adrift","stuurloos"
"checkpoint","controlepost"
"comfort zone","bekend terrein"
"common ground","gemeenschappelijk"
"decommission","ontmantelen"
"for the duration of","tijdens"
"forge a bond","een band scheppen"
"have in common","gemeenschappelijk hebben"
"inevitably","onvermijdelijk"
"lean on","afhankelijk zijn van"
"life raft","reddingsboot"
"mindset","denkwijze"
"whatsoever","helemaal"
"reflect","nadenken"
"round of applause","applaus"
"similarity","gelijkenis"
"team-building retreat","retraite voor het versterken van de teamgeest"
"tense","gespannen"
"crack the books","leren"
"deficit","tekort"
"doze off","in slaap vallen"
"extracurricular activities","buitenschoolse activiteiten"
"foreseeable future","nabije toekomst"
"grade 9","derde klas"
"high achiever","succesvol persoon"
"jolt","stoot"
"nod off","in slaap vallen"
"resort to","toevlucht nemen tot"
"set straight","de ware toedracht verteld"
"shift away from","van richting veranderen"
"sleep deprivation","slaaptekort"
"sold on","enthousiast over"
"stick around","blijven"
"take a catnap","hazenslaapje doen"
"wake-up call","iets wat iemand ergens bewust van maakt"
"Agony Aunt","iemand die persoonlijke brieven van lezers beantwoordt"
"BFF","beste vriendin"
"henpecked","onder de plak"
"make a move","het initiatief nemen"
"nursery","crèche"
"resolve","oplossen"
"set boundaries","grenzen stellen"
"settle for","genoegen nemen met"
"miss out on","mislopen"
"shelter","opvang"
"chorus","refrein"
"come to terms with","iets aanvaarden"
"fragility","breekbaarheid"
"guardian","voogd"
"heir","erfgenaam"
"out of the blue","plotseling"
"perish","omkomen"
"plague","pest"
"sand pit","zandbak"
"seemingly","schijnbaar"
"startling","opzienbarend"
"unravel","ontrafelen"
"virtue","deugd"
