"agitated","gestrest / nerveus"
"beneficiary","belanghebbende"
"convention","conferentie"
"curative","genezend"
"detached","objectief"
"dispossession","onteigening"
"encompassing","veelomvattend"
"erase","wissen"
"erode","uithollen"
"expansion","uitbreiding / groei"
"facilitate","vergemakkelijken / faciliteren"
"gag","de mond snoeren"
"host of","flink aantal"
"imperative","verplichting"
"imposition","oplegging"
"incomprehension","onbegrip"
"indigenous","inheems / oorspronkelijk"
"influx","toevloed"
"merge","fuseren"
"omnipotence","almacht"
"parochial","burgerlijk / kleinburgerlijk"
"reciprocal","wederzijds"
"transparent","duidelijk / helder"
"unambiguous","eenduidig"
"amendment","wijziging"
"cartilage","kraakbeen"
"compelling","dringend"
"compliant","toegeeflijk / meegaand"
"core","belangrijkste"
"dampen","temperen"
"derive from","afleiden van"
"devise","bedenken"
"dismay","ontzetting"
"efficacy","effectiviteit / werkzaamheid"
"extraction","het onttrekken / de verwijdering"
"gain momentum","op gang komen"
"go into overdrive","op hol slaan"
"persuasion","overreding / overtuiging"
"plaintiff","aanklager"
"recapitulate","samenvatten"
"regenerate","weer doen groeien / weer doen aangroeien"
"reputable","gerenommeerd"
"responsive to","reagerend op"
"seed","plaatsen"
"spinal cord","ruggenmerg"
"toxicity","giftigheid"
"writhe","kronkelen"
"yield","opleveren"
"concession","tegemoetkoming"
"constrained","verplicht / gedwongen"
"disclosure","onthulling"
"exercise","uitoefenen"
"fiscal","financieel"
"gratify","tevredenstellen"
"incarceration","opsluiting"
"infringement","inbreuk"
"irrefutable","onweerlegbaar"
"irrespective","ongeacht"
"legitimate","gerechtvaardigdheid / legitiem"
"mandatory","verplicht"
"parole officer","reclasseringsambtenaar"
"on parole","voorwaardelijk / voorwaardelijke vrijlating"
"preparatory","voorbereidend"
"probation","proeftijd"
"receptive to","openstaand / ontvankelijk voor"
"redress","rechtzetten / herstellen"
"retaliation","vergeldingsmaatregel"
"retribution","vergelding / zware straf"
"sensory","zintuiglijk"
"subside","minder worden"
"suspend","uitstellen"
"warrant","bevel / aanhoudingsbevel"
"abysmal","afgrijselijk slecht"
"anguish","hevige geestelijk lijden / leed"
"asset","aanwinst"
"attain","bereiken"
"bane","last"
"boon","zegen"
"conception","bevruchting"
"containment","beheersing"
"disposed","geneigd"
"disregard","negeren"
"dissemination","verspreiding"
"dissuade from","afraden om / ontraden"
"emission","uitstoot"
"engender","veroorzaken"
"galvanize","stimuleren / aansporen"
"inadvertently","onbedoeld / onopzettelijk"
"invariably","steevast / constant"
"morality","zedelijkheid / moraal"
"pose","vormen"
"protract","rekken / voortzetten"
"purification","zuivering"
"rampant","hoogtij vieren"
"self-perception","zelfbeeld"
"self-perpetuating","zichzelf in stand houdend"
"unwitting","nietsvermoedend / onwetend"
"admonish","oproepen / aansporen"
"alienate","vervreemden"
"allusion","toespeling"
"applicable to","geldend voor"
"complicity","medeplichtigheid"
"condescension","neerbuigendheid"
"consolation","troost"
"constraint","beperking"
"culpable","schuldig"
"defining","bepalend"
"dislocation","ontwrichting"
"dispraise","afkeuren"
"hearse","lijkwagen"
"indolent","loom / lui"
"judicial","gerechtelijk"
"loop","lus"
"marginalisation","uitsluiting"
"marker","indicator"
"patchwork","bont geheel / lappendeken"
"predominantly","overheersend"
"profess","openlijk verklaren"
"purring","geronk"
"recollection","herinnering"
"remorse","berouw / diepe spijt"
"utilitarian","nuttig"
